CODE,DURATION,Z1,Z2,Z3,Z4,Z5,DESCRIPTION
RAe9,150.0,90.0,60,,,,"10 min Z1
4 × (15 min Z2/5 min Z1)
60 min Z1
"
RAn1,60.0,50.0,,,10.0,,"15 min Z1
4 × (2.5 min Z4/5 min Z1)
15 min Z1
"
RAn2,60.0,47.5,,,12.5,,"15 min Z1
5 × (2.5 min Z4/5 min Z1)
7.5 min Z1
"
RAn3,60.0,45.0,,,15.0,,"15 min Z1
6 × (2.5 min Z4/5 min Z1)
"
RAn4,45.0,35.0,,,10.0,,"15 min Z1
4 × (2.5 min Z4/5 min Z1)
"
RAn5,44.5,37.0,,,7.5,,"15 min Z1
3 × (2.5 min Z4/5 min Z1)
7 min Z1
"
RCI1,60.0,10.0,26,24,,,"5 min Z1
21 min Z2
3 × (5 min Z3/3 min Z1)
5 min Z2
5 min Z1
"
RCI10,45.0,10.0,11,24,,,"5 min Z1
6 min Z2
3 × (6 min Z3/2 min Z1)
5 min Z2
5 min Z1
"
RCI11,53.0,10.0,11,32,,,"5 min Z1
6 min Z2
4 × (6 min Z3/2 min Z1)
5 min Z2
5 min Z1
"
RCI12,61.0,10.0,15,36,,,"5 min Z1
10 min Z2
4 × (7 min Z3/2 min Z1)
5 min Z2
5 min Z1
"
RCI13,30.0,15.0,,15,,,"10 min Z1
3 × (3 min Z3/2 min Z1)
5 min Z1
"
RCI14,71.0,21.0,10,40,,,"5 min Z1
10 min Z2
4 × (10 min Z3/4 min Z1)
"
RCI15,38.0,15.0,5,18,,,"15 min Z1
3 × (4 min Z3/2 min Z1)
5 min Z2
"
RCI2,52.0,10.0,10,32,,,"5 min Z1
5 min Z2
4 × (5 min Z3/3 min Z1)
5 min Z2
5 min Z1
"
